Nome;CPF;Matricula;Secretaria;Cargo;Status
Ana Paula Ribeiro;111.222.333-44;2024001;Secretaria de Educação;Professora;ativo
Bruno César Almeida;222.333.444-55;2024002;Secretaria de Saúde;Médico;ativo
Carla Mendes Silva;333.444.555-66;2024003;Secretaria de Obras;Engenheira;ativo
Daniel Oliveira Costa;444.555.666-77;2024004;Secretaria de Fazenda;Contador;ativo
Eduarda Santos Lima;555.666.777-88;2024005;Secretaria de Administração;Assistente;ativo
Fernando Gomes Pereira;666.777.888-99;2024006;Secretaria de Turismo;Analista;ativo
Gabriela Souza Martins;777.888.999-00;2024007;Secretaria de Cultura;Produtora;ativo
Hugo Barbosa Ferreira;888.999.000-11;2024008;Secretaria de Esportes;Técnico;ativo
Isabela Rodrigues Castro;999.000.111-22;2024009;Secretaria de Meio Ambiente;Bióloga;ativo
João Pedro Nascimento;000.111.222-33;2024010;Secretaria de Segurança;Guarda;ativo
